phone,address,description,name,link
0122 921 5695,"tòa nhà 34T hoàng đạo thúy , Hanoi, Vietnam",N/A,Mỹ Phẩm MH,https://www.facebook.com/profile.php?id=100079496169591&__tn__=%3C
098 235 53 95,"Ngõ 5 Phố Xốm, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ phẩm My Linh,https://www.facebook.com/profile.php?id=100075851568492&__tn__=%3C
098 212 35 67,"217 Giảng Võ, Hanoi, Vietnam",N/A,Mỹ phẩm Hạnh Thơm,https://www.facebook.com/sieumypham158giangvo?__tn__=%3C
097 222 06 58,"112 Nguyễn khuyến, văn quán hà đông, Hanoi, Vietnam",N/A,Mỹ Phẩm Tóc THT,https://www.facebook.com/phukientoc126xcity?__tn__=%3C
867953864,N/A,N/A,Mỹ Phẩm Min Shop (Cosmetic),https://www.facebook.com/Minshop.authentic2?__tn__=%3C
038 511 1996,"Đường tình lộ 422- thôn lũng kênh- xã đức giang- hoài đức- hà nội, Hanoi, Vietnam",N/A,MỸ PHẨM HÀ GIANG,https://www.facebook.com/profile.php?id=100072327552905&__tn__=%3C
098 976 61 76,"ba La - Hà Đông - Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm An Nhiên,https://www.facebook.com/profile.php?id=100057678890975&__tn__=%3C
"985
985
166","136 Hồ Tùng Mậu , Hanoi, Vietnam",N/A,MỸ PHẨM KHÁNH LINH,https://www.facebook.com/profile.php?id=61584358239308&__tn__=%3C
039 776 1200,"Phùng Khoang, Vietnam",N/A,Mỹ Phẩm chính hãng,https://www.facebook.com/myphamhanquoc.haihuyen?__tn__=%3C
098 198 63 21,"116 Nguyễn Xiển, Phùng Khoang, Vietnam",N/A,Mỹ Phẩm 24H,https://www.facebook.com/mypham24h.vn?__tn__=%3C
098 972 34 88,N/A,N/A,Mỹ phẩm Huyền Oanh,https://www.facebook.com/profile.php?id=100066804054408&__tn__=%3C
096 330 57 66,"53 Triều khúc, Hanoi, Vietnam",N/A,Nana's House - Mỹ phẩm & Làm đẹp,https://www.facebook.com/nana.house.trieu.khuc?__tn__=%3C
096 781 92 33,"cầu giấy hà nội, Trung Hà, Vietnam",N/A,Mỹ Phẩm Việt,https://www.facebook.com/vaithieusayxuatkhauchinhhang?__tn__=%3C
N/A,"ha noi, Phúc Lý, Vietnam",N/A,Mỹ phẩm Authentic,https://www.facebook.com/profile.php?id=100069298237867&__tn__=%3C
096 883 30 83,N/A,N/A,Mỹ Phẩm Cao Cấp,https://www.facebook.com/HaritoVietNam?__tn__=%3C
093 648 51 14,"Viwaseen Tower, 48 P. Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội, Vietnam, Hanoi, Vietnam",N/A,GSC - Global Shield Cosmetic,https://www.facebook.com/gsc.globalshieldcosmetic?__cft__[0]=AZaOOfE3rmhNQmwiPr78IR943dHGN2u96WZQbwqniSITIKj1-jNMzA4rL_Sn_3KJkG-IhzZN_UlAJcVZKqg8GwjsqPPCYp4IX6kqHzVOj4fqiNb2LUPdROiRKtMJaG6t0hj8maKK5nE_DpbhK3wyUDWy6EtkQg8sgwcDs9nTYLjfy1iwF6NRf8dab8Q-VqO_aVTwcYzOjXPxpFadVv8Lc3OmBp0lWuCrqSh5kIU5oRcSeI50j2zNrzuqjjYdSrAU-tdim_Qn2UDCRUmOiXlrNsYeo9GWrvFRfrNRdKHihQhEkg&__tn__=%3C%2CP-R
032 665 2345,"Phùng Khoang, Vietnam",N/A,Mỹ Phẩm Chính Hãng,https://www.facebook.com/chuyenmyphamchinhhang1221?__tn__=%3C
096 854 51 60,"số nhà 15b nguyễn công trứ , Hanoi, Vietnam",N/A,Mỹ Phẩm Phạm Thủy,https://www.facebook.com/profile.php?id=61572816787514&__tn__=%3C
097 623 51 31,"11 Duy Tân, Cầu Giấy, Hanoi, Vietnam",N/A,Mỹ Phẩm Chính Hãng,https://www.facebook.com/mypham.sao?__tn__=%3C
0164 540 5180,N/A,N/A,Mỹ phẩm trang điểm,https://www.facebook.com/khosiquanaotoanquoc?__tn__=%3C
098 965 20 51,"Ngõ 2 Phú Đô, Nam Từ Liêm,, Hanoi, Vietnam",N/A,"Onvaon - Mỹ Phẩm, Giảm Cân, Mẹ và Bé",https://www.facebook.com/Onvaoncom?__tn__=%3C
097 850 25 61,"51, Tôn Đức Thắng, Đống Đa, Ha Loi, Vietnam",N/A,Mỹ Phẩm Việt,https://www.facebook.com/myphampizuviet?__tn__=%3C
094 356 05 08,"378 Lê Duẩn , Phương Liên , Đống Đa , Hà Nội, Trung Hà, Vietnam",N/A,Mỹ Phẩm Lâm Hà,https://www.facebook.com/profile.php?id=100091645726356&__tn__=%3C
+43 3689 580,"hữu bằng, Hà Đông, Vietnam",N/A,Mỹ Phẩm Hà Nội,https://www.facebook.com/profile.php?id=100086756169952&__tn__=%3C
876599966,"Hà Nội, Tay Ho, Vietnam",N/A,Mỹ Phẩm Dr.G,https://www.facebook.com/profile.php?id=61558127018814&__tn__=%3C
096 295 59 78,"Vĩnh phúc, Vĩnh Phúc, Vietnam",N/A,Mỹ phẩm trắng da,https://www.facebook.com/profile.php?id=100079656996649&__tn__=%3C
097 587 90 58,"Hà nội, Ha Loi, Vietnam",N/A,Mỹ phẩm giá tốt,https://www.facebook.com/profile.php?id=100070652628145&__tn__=%3C
0129 666 1386,N/A,N/A,Mỹ phẩm xách tay,https://www.facebook.com/profile.php?id=100066487576475&__tn__=%3C
090 477 17 22,N/A,N/A,Mỹ Phẩm Út Xuân,https://www.facebook.com/phuongquyys?__tn__=%3C
N/A,"Lieu Giai, Hanoi, Vietnam",N/A,Mỹ phẩm thiên nhiên,https://www.facebook.com/Mypham.chinhhang.top1?__tn__=%3C
038 399 8829,"Đội 9 Hậu Dưỡng KIm Chung Đông Anh Hà Nội, Ha Loi, Vietnam",N/A,Mỹ Phẩm Chính Hãng,https://www.facebook.com/profile.php?id=100063482056549&__tn__=%3C
098 935 23 68,"52 Cầu Trì, Phường Sơn Lộc, Son Tay, Vietnam",N/A,Mỹ Phẩm Quỳnh Anh,https://www.facebook.com/mpquynhanhsontay?__tn__=%3C
091 695 69 73,"NV10 khu đô thị Trung Văn, Nam Từ Liêm, Hà Nội, Hanoi, Vietnam",N/A,Mỹ phẩm Hàn Quốc Queenie,https://www.facebook.com/queenie.official?__tn__=%3C
N/A,"BT-04 Ngõ 6 Nguyễn Văn Lộc, Hà Đông, Hà Nội., Hà Đông, Vietnam",N/A,Mỹ Phẩm Anh Quốc - Phạm Huế,https://www.facebook.com/profile.php?id=100083557221839&__tn__=%3C
039 493 1861,"Văn Quán Hà Đông Hà Nội, Hanoi, Vietnam",N/A,Lan Phạm _ Siêu Thị Mỹ Phẩm,https://www.facebook.com/profile.php?id=61551959923907&__tn__=%3C
096 158 28 80,"91 nguyễn chí thanh, Hanoi, Vietnam",N/A,Trang Sức Mỹ Phẩm Thu Dương,https://www.facebook.com/trangsucmyphamthuduong?__tn__=%3C
093 500 15 91,"150 Cù Chính Lan, Da Nang, Vietnam",N/A,Mỹ phẩm Kissme,https://www.facebook.com/myphamkissme?__tn__=%3C
033 333 3313,N/A,N/A,Mỹ Phẩm Thiên Nhiên Cao Cấp - Huyền Phi Cosmestics,https://www.facebook.com/myphamcaocaphuyenphicosmestics?__tn__=%3C
097 576 93 59,"Tòa G3, Vinhome Greenbay Mễ Trì, Từ Liêm, Hà Nội, Hanoi, Vietnam",N/A,Mỹ phẩm Nhật- phong cách Nhật,https://www.facebook.com/ShopOfRin?__tn__=%3C
093 469 88 88,"Tòa nhà VINAHUD 536A Minh Khai - Phường Vĩnh Tuy - Hai Bà Trưng - Hà Nội, Hanoi, Vietnam",N/A,Mỹ Phẩm Cao Cấp QUIN,https://www.facebook.com/quin.cosmetics.vn?__tn__=%3C
083 254 8061,"A46 TT3, Khu đô thị Văn Quán, Q.Hà Đông, Hanoi, Vietnam",N/A,Mỹ Phẩm Xuân Thì,https://www.facebook.com/myphamxuanthi?__tn__=%3C
091 695 69 73,"Biệt thự nhà vườn 10 khu đô Thị mới Hancic Trung Văn, Nam Từ Liêm, Hà Nộị, Hanoi, Vietnam",N/A,Mỹ Phẩm Queenie Hàn Quốc - Da trắng đẹp tự nhiên,https://www.facebook.com/profile.php?id=100075584031225&__tn__=%3C
096 888 69 92,"Tầng 25, Tòa nhà B2 - Roman Plaza, đường Tố Hữu, phường Đại Mỗ, Quận Nam Từ Liêm, Hanoi, Vietnam",N/A,Mỹ phẩm Linh Nhâm,https://www.facebook.com/myphamlinhnham.vn?__tn__=%3C
866269538,"Phùng Khoang, Vietnam",N/A,"Mỹ Phẩm HÀN QUỐC Chính Hãng Hà Nội, Tphcm",https://www.facebook.com/myphamhanquocchinhhanghanoitphcm?__tn__=%3C
091 695 69 73,"Nhà vườn 10 Khu đô thị mới Hancic, Trung Văn, Nam Từ Liêm, Hà Nội, Hanoi, Vietnam",N/A,Dược Mỹ Phẩm Queenie Hàn Quốc - Trắng da tự nhiên,https://www.facebook.com/profile.php?id=100076056138199&__tn__=%3C
076 668 2234,"Hà Nội , Hà Đông, Vietnam",N/A,Mỹ Phẩm Chính Hãng Giá Tốt,https://www.facebook.com/profile.php?id=61554719032674&__tn__=%3C
090 445 61 61,"Số 10-ngõ 5, đường Ngô Đình Mẫn,p La Khê, q Hà Đông, Tp Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm C. Thuỷ La Khê,https://www.facebook.com/profile.php?id=61553744100775&__tn__=%3C
056 322 8333,N/A,N/A,Mỹ phẩm TOÀN TRANG,https://www.facebook.com/profile.php?id=100065261701429&__tn__=%3C
096 246 46 04,"AION Hà Đông , Hà Đông, Vietnam",N/A,Mỹ phẩm ROSA Beauty & Spa,https://www.facebook.com/profile.php?id=100087165488501&__tn__=%3C
N/A,"Nhà vườn 10 khu đô thị mới Hancic, Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội, Hanoi, Vietnam",N/A,Dược Mỹ Phẩm Queenie - Da trắng đẹp tự nhiên,https://www.facebook.com/profile.php?id=100070635563391&__tn__=%3C
085 603 3737,N/A,N/A,Mỹ Phẩm Navoco Beauty chính hãng,https://www.facebook.com/profile.php?id=100078042467183&__tn__=%3C
096 383 87 29,"26 Trần Phú - Thường Tín , Hanoi, Vietnam",N/A,Xanh Cosmetics - Mỹ phẩm chính hãng,https://www.facebook.com/XanhCosmeticshn?__tn__=%3C
0868 229 499,N/A,N/A,Phân Phối Mỹ Phẩm Spa Chuyên Nghiệp - NHẬT MINH,https://www.facebook.com/Quyet.DesembreVietNam?__tn__=%3C
038 688 9892,"NV10, khu đô thị Trung Văn Hancic, Trung Văn, Nam Từ Liêm, Hà Nội, Hanoi, Vietnam",N/A,Dược Mỹ Phẩm Queenie - Xóa Sạm Nám,https://www.facebook.com/duocmyphamqueeniexoasamnam?__tn__=%3C
058 523 5875,"TT4-8 Him Lam, phường Vạn Phúc, Hà Đông, Hà Nội, Hanoi, Vietnam, Hanoi, Vietnam, Hanoi, Vietnam",N/A,Mỹ phẩm SHOYA,https://www.facebook.com/shoyavietnam25?__tn__=%3C
377812194,"1008 Quang Trung - Hà Đông - Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm Làm Hồng Xxvirgin Hàn Quốc,https://www.facebook.com/profile.php?id=100084878360629&__tn__=%3C
097 390 87 62,"U8L40, Khu đô thị Đô Nghĩa ,Yên Nghĩa, Hà Đông, Hà Nội ( đối diện số 11 Phố Yên Lộ ), Hanoi, Vietnam",N/A,OAM Offical _Dược Mỹ Phẩm,https://www.facebook.com/OAMOffical?__tn__=%3C
N/A,"Số 244 đường 3.1 KĐT Gamuda Garden - Trần Phú- Hoàng Mai- Hà Nội, Hanoi, Vietnam",N/A,Thế Giới Mỹ Phẩm Natural,https://www.facebook.com/Thegioimyphamnatural?__tn__=%3C
N/A,N/A,N/A,Mỹ Phẩm Cao Cấp Pro Girl,https://www.facebook.com/Myphamcaocapprogirl88?__tn__=%3C
034 378 6588,"815 Giải Phóng, Hoàng Mai, Hà Nội, Hanoi, Vietnam",N/A,Mỹ phẩm Hàn Quốc RIORI,https://www.facebook.com/MyphamhanquocRiori.hanoi?__tn__=%3C
N/A,N/A,N/A,Cao lá rừng tươi trị mụn nám tàn nhang đồi mồi .thuốc gia truyền,https://www.facebook.com/profile.php?id=100072420698057&__cft__[0]=AZaBC3GRAA4nQIUONVVYN7o9uoVXFgsJeRliDUfg8wGO2pHCzjRL7Nm5jxzAm4Wp95lUyLylzQ_iDufGAdG_SonW8x5PlQ7rchv_15GNMA07W3OnQQV8NMGuSyw1Yt_C50LPDSywiTuwN-bGNmC2m3XNb5aeSs1yGpCUPuVUjpmBXBn80knzyrhXBUC47-PcO5pqFovavnOIgxoN0wR3w_TdJPyyHIGnP0_4OdjNJTp6LmPj90nVTNhrnD8tGLN-GXFjk7aa00Tj6OAibpukhS8aVAagF9J1mB9oF-Eds-FO1PsdN1TEkonc9bQR-fp0Lsn7126Tm1GhDC1LdsRukymv&__tn__=%3C%2CP-R
096 444 22 52,"Đường Phúc La-Văn Phú, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ Phẩm Tóc Tại Nhà,https://www.facebook.com/profile.php?id=100078905643517&__tn__=%3C
N/A,"61 Ngụy Như Kon Tum, Hanoi, Vietnam",N/A,Lagumi - Mỹ phẩm thiên nhiên,https://www.facebook.com/MyPhamLagumi?__tn__=%3C
978289788,"301 Nguyễn Trãi, Thanh Xuân, Hà Nội, Hanoi, Vietnam",N/A,Thanh Hằng Cosmetics - Mỹ phẩm xách tay chính hãng,https://www.facebook.com/storemyphamcaocap?__tn__=%3C
090 998 54 60,"Ho Chi Minh City, Vietnam",N/A,Mỹ Phẩm Đông Anh - Trang Công Ty,https://www.facebook.com/Ctydonganh.05?__tn__=%3C
034 579 0789,"Sân bay cam ranh , Khanh Hoa, Vietnam",N/A,Thế Giới Mỹ Phẩm,https://www.facebook.com/thegioiyensaonhatnguyennest?__tn__=%3C
0166 796 8381,N/A,N/A,"Mỹ phẩm OHUI, WHOO CÔNG TY CHÍNH HÃNG Oliver shop",https://www.facebook.com/profile.php?id=100064806546197&__tn__=%3C
961416888,N/A,N/A,Mỹ phẩm Nga,https://www.facebook.com/dieuanhaccessories?__tn__=%3C
N/A,"Thủy Sơn, Hai Phong, Vietnam",N/A,Mỹ Phẩm Thủy Nguyên,https://www.facebook.com/myphamthuynguyen6886?__tn__=%3C
097 572 61 93,N/A,N/A,Mỹ Phẩm Xách Tay Hàn Quốc Chính Hãng,https://www.facebook.com/myphamxachtay.thuyha?__tn__=%3C
N/A,"Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm hera,https://www.facebook.com/profile.php?id=61563474731768&__tn__=%3C
N/A,"Phố Hà Cầu, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ phẩm 1,https://www.facebook.com/profile.php?id=100080283691207&__tn__=%3C
N/A,"Hà nội, Hà Đông, Vietnam",N/A,Mỹ Phẩm Chính Hãng,https://www.facebook.com/profile.php?id=61554302566389&__tn__=%3C
093 164 00 45,"thanh hà, Hà Đông, Vietnam",N/A,Mỹ Phẩm GoldZan,https://www.facebook.com/myphamvangchinhhang?__tn__=%3C
867953864,N/A,N/A,Mỹ Phẩm Min Shop (Min Cosmetics),https://www.facebook.com/Minshop.authentic3?__tn__=%3C
N/A,N/A,N/A,MỸ PHẨM HEYXI,https://www.facebook.com/profile.php?id=100089188740462&__tn__=%3C
097 691 29 28,N/A,N/A,MỸ PHẨM HOA DƯƠNG,https://www.facebook.com/profile.php?id=100069572403007&__tn__=%3C
N/A,"HÀ NỘI, Hà Đông, Vietnam",N/A,MỸ PHẨM 5,https://www.facebook.com/profile.php?id=100085049110310&__tn__=%3C
N/A,N/A,N/A,Mỹ phẩm philip,https://www.facebook.com/profile.php?id=100080284762646&__tn__=%3C
096 882 11 66,"Văn Phú, Hà Đông, Vietnam",N/A,Mỹ Phẩm Kose - Predia,https://www.facebook.com/profile.php?id=100063557757221&__tn__=%3C
N/A,"Phố Thành Công, Hà Nội, Việt Nam, Hanoi, Vietnam",N/A,Mỹ Phẩm ADA cosmetic,https://www.facebook.com/profile.php?id=100078859211225&__tn__=%3C
N/A,N/A,N/A,Mỹ Phẩm Hà My,https://www.facebook.com/profile.php?id=100065671893438&__tn__=%3C
N/A,N/A,N/A,Mỹ Phẩm chính hãng,https://www.facebook.com/profile.php?id=100089715310592&__tn__=%3C
N/A,N/A,N/A,Mỹ phẩm làm đẹp,https://www.facebook.com/profile.php?id=100071666350989&__tn__=%3C
N/A,"Phố Nguyễn Văn Lộc, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ phẩm chính hãng,https://www.facebook.com/profile.php?id=100083692056806&__tn__=%3C
036 883 9989,"Kiến Hưng, Hà Đông, Vietnam",N/A,mỹ phẩm phong lan,https://www.facebook.com/profile.php?id=61557358162462&__tn__=%3C
N/A,"Phố Phúc La, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ phẩm nhật,https://www.facebook.com/profile.php?id=100071571158708&__tn__=%3C
N/A,"Phố Lê Hồng Phong, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ phẩm sân bay,https://www.facebook.com/profile.php?id=100068739414425&__tn__=%3C
N/A,"Ngõ Ga Hà Đông, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,MỸ PHẨM SỈ &LẺ,https://www.facebook.com/profile.php?id=100083713890158&__tn__=%3C
098 544 82 28,"Vạn Phúc - Hà Đông, Hanoi, Vietnam",N/A,Mỹ Phẩm Yene,https://www.facebook.com/profile.php?id=100090113126138&__tn__=%3C
N/A,"Trung Văn, Hà Đông, Vietnam",N/A,Mỹ Phầm 1,https://www.facebook.com/profile.php?id=100083766091765&__tn__=%3C
N/A,"Hà nội, Hà Đông, Vietnam",N/A,Mỹ phẩm Linh Anh,https://www.facebook.com/profile.php?id=100083190494659&__tn__=%3C
N/A,"Phố Xa La, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ Phẩm Hana,https://www.facebook.com/profile.php?id=100083212633107&__tn__=%3C
N/A,"Phố Văn Quán, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Mỹ Phẩm Hà Nội,https://www.facebook.com/profile.php?id=100082787100162&__tn__=%3C
N/A,"trần phú, Hà Đông, Vietnam",N/A,Mỹ phẩm Thái Lan,https://www.facebook.com/profile.php?id=61558471907197&__tn__=%3C
N/A,"Trần Vỹ - Cầu Giấy - Hà Nội, Hanoi, Vietnam",N/A,Mỹ Phẩm Huyền Spa,https://www.facebook.com/profile.php?id=100082132704814&__tn__=%3C
N/A,N/A,N/A,Bán mỹ phẩm,https://www.facebook.com/profile.php?id=100064179305751&__tn__=%3C
N/A,N/A,N/A,Mỹ phẩm organic,https://www.facebook.com/myphamorganic?__tn__=%3C
096 993 17 24,"Đường Phúc La-Văn Phú, Hà Nội, Việt Nam, Hà Đông, Vietnam",N/A,Bách hoá mỹ phẩm,https://www.facebook.com/profile.php?id=100072060967280&__tn__=%3C
0986 492 589,N/A,N/A,Mỹ Phẩm Mai Amber,https://www.facebook.com/MyphamMaiamber?__tn__=%3C
096 663 07 90,"125 Nguyễn Đức Cảnh, Quận Hoàng mai , Hanoi, Vietnam",N/A,Mỹ Phẩm Mẹ Bé Táo,https://www.facebook.com/myphammebetao?__tn__=%3C
093 4433 179,"17 Trường Sơn, P.4, Quận Tân Bình, Thành Phố Hồ Chí Minh, Ho Chi Minh City, Vietnam",N/A,Mỹ Phẩm MQ Skin,https://www.facebook.com/SIEUTRANGG.14?__tn__=%3C
835194134,"Đường 286- Thị trấn chờ - Yên phong - Bắc Ninh , Bac Ninh, Vietnam",N/A,Hali-Beauty academy-Dưỡng sinh&Mỹ phẩm,https://www.facebook.com/profile.php?id=61582575317430&__tn__=%3C
094 400 11 22,"215 LÝ CHÍNH THẮNG - P. VÕ THỊ SÁU - Q3, Ho Chi Minh City, Vietnam",N/A,MỸ PHẨM THANH HẰNG,https://www.facebook.com/mypham.thanhhang1122?__tn__=%3C
N/A,"Văn Phú - Phú La - Hà Đông, Hà Đông, Vietnam",N/A,Mỹ phẩm chính hãng Emilia,https://www.facebook.com/profile.php?id=100089714393730&__tn__=%3C
