name,phone,address,link
Mỹ Phẩm Pháp BeautyMart,'097 714 72 68,N/A,https://www.facebook.com/BeautyMart.com.vn?__tn__=%3C
Lê Hồng Nhung _ Mỹ phẩm chính hãng,'098 896 20 87,"Thạch Thất, Hanoi, Vietnam",https://www.facebook.com/myphamohuiwhoosum37chinhhang?__cft__[0]=AZaRNCPhHR4NoG56bc9pENKLyhQhJCyo07rqRHhF0A5JciiBSmThAOl97mVJ1lM1-pK6Kug70vNTjWs6dedfY2aM6a4MCEvj64HMpa-nYKhQdES3_hp_w1XTCMjiwPE_TpIksV912dDKvXN7ZHXzaH2sMaS8GpfBzRmwD4p--CDPDKXxyC7oR-DRTfxzEYTgeURq1nuO6lAW6DS55Si6CSyxY16CzdoadEuQiXmKDZDUZmFvwaYReDH-zPhJmZUAJufiFEQm6NQds079PgoD6DkCNpkCJuE1yalpiO5DID2viaa6RmHC8gEz4zrkYY-DUd4URMIkExvdM_kljyX08IDx&__tn__=%3C%2CP-R
Mỹ Phẩm Nhập Khẩu Reborn,'091 485 86 86,N/A,https://www.facebook.com/thichlamdepbangmypham?__tn__=%3C
MỸ PHẨM CAO CẤP,'077 731 7778,N/A,https://www.facebook.com/HomeBeauty.myphamcaocap
Mỹ Phẩm 24H,'098 198 63 21,"116 Nguyễn Xiển, Phùng Khoang, Vietnam",https://www.facebook.com/mypham24h.vn?__tn__=%3C
VIORA Việt Nam,'038 968 8007,N/A,https://www.facebook.com/Viora30?__cft__[0]=AZaWi39fMoZCXkjpA3qdjvsGxLEQOhoaoyWWCvyTxrOOeRjqBS0af8ATemuNQSOrV-0-YqQhByybOdomRn-R4jkU4uGsa2E6uhhMwdaBsiSJ3F_3hFnFwr8uv3-Pdqcm5lMxsLZ4MYLkhE94MXVbk_1lqrFtdk_XffpHdTqgd1zNPqsnivJIQtseGGIV-7HPymhHuwXX_sQ26YHzIlqhOA8iEw_hhH3R2nyK5KSNLIVCSblAPRZAqx13ArtPJfSOkc3Y-Pser_kc0kFYROuVgmym&__tn__=%3C%2CP-R
Duy Thường Mỹ Phẩm Chính Hãng,,N/A,https://www.facebook.com/Thuong1994gaming
Mỹ Phẩm Linh Hương,'096 990 17 84,"Hà Đông, Hanoi, Vietnam",https://www.facebook.com/myphamlinhhuong.handmade?__tn__=%3C
Nana's House - Mỹ phẩm & Làm đẹp,'096 330 57 66,"53 Triều khúc, Hanoi, Vietnam",https://www.facebook.com/nana.house.trieu.khuc?__tn__=%3C
Mỹ Phẩm Linh Yến,'096 698 07 02,"CT1B - KĐT Tân Tây Đô, Hanoi, Vietnam",https://www.facebook.com/linhyenshop1?__tn__=%3C
Mỹ Phẩm Hàn Quốc,'034 314 5678,"88 Trần Hoà - Hoàng Mai, Hanoi, Vietnam",https://www.facebook.com/HNK999?__tn__=%3C
Cam Cam Cosmetics - Shop mỹ phẩm,'092 966 36 63,"233 Trương Định, Hoàng Mai, Hà Nội, Hanoi, Vietnam",https://www.facebook.com/camcamcosmetics2024
MỸ PHẨM SỐ 1,,N/A,https://www.facebook.com/myphamso1.linhdien?__tn__=%3C
Mỹ phẩm THE FACE SHOP,'097 479 77 27,"41A Trần Quốc Vượng, Hanoi, Vietnam",https://www.facebook.com/linhnamshop.vn?__tn__=%3C
Mỹ Phẩm Việt,'096 781 92 33,"cầu giấy hà nội, Trung Hà, Vietnam",https://www.facebook.com/vaithieusayxuatkhauchinhhang?__tn__=%3C
Mỹ Phẩm Min Shop (Cosmetic),'867953864,N/A,https://www.facebook.com/Minshop.authentic2?__tn__=%3C
